idShop,distinctOrigins,sku,quantity,formatted_date,displayName,isRecommendation,estimatedDeliveryTimeValue,estimatedDeliveryTimeUnit,shippingMethod,fulfillmentMethod,state,freightCostCurrency,description,deliveryMethodId,isPickupEnable,isSchedulingEnable,descriptionLogistic,deliveryMethodType,deliveryEstimateBusinessDays,originBranchOfficeId,origin,destination,costOfGoods,productCategory,weight,providerShippingCost
idShop_3,1,sku_1,1,2024-04-15 14:03:47,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,169.9,productCategory_1,1.06,22.31
idShop_3,1,sku_1,1,2024-04-15 14:03:47,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,169.9,productCategory_1,1.06,0
idShop_4,1,sku_2,1,2024-04-15 14:05:29,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,179.99,productCategory_0,1.31,9.32
idShop_4,1,sku_2,1,2024-04-15 14:05:29,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,179.99,productCategory_0,1.31,22.41
idShop_4,1,sku_2,1,2024-04-15 14:05:29,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,179.99,productCategory_0,1.31,0
idShop_5,1,sku_2,1,2024-04-15 14:05:41,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,199.99,productCategory_0,1.31,9.47
idShop_5,1,sku_2,1,2024-04-15 14:05:41,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,199.99,productCategory_0,1.31,22.61
idShop_5,1,sku_2,1,2024-04-15 14:05:41,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,199.99,productCategory_0,1.31,0
idShop_6,1,sku_3,1,2024-04-15 14:05:48,displayName_0,isRecommendation_0,1,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,1,originBranchOfficeId_0,3110010,1310100,129.99,productCategory_2,2.6,8.9
idShop_6,1,sku_3,1,2024-04-15 14:05:48,displayName_3,isRecommendation_0,1,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_3,deliveryMethodId_3,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_3,deliveryMethodType_1,1,originBranchOfficeId_0,3110010,1310100,129.99,productCategory_2,2.6,8.95
idShop_6,1,sku_3,1,2024-04-15 14:05:48,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,129.99,productCategory_2,2.6,0
idShop_7,1,sku_2,1,2024-04-15 14:06:38,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,126,productCategory_0,1.31,8.91
idShop_7,1,sku_2,1,2024-04-15 14:06:38,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,126,productCategory_0,1.31,21.88
idShop_7,1,sku_2,1,2024-04-15 14:06:38,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,126,productCategory_0,1.31,0
idShop_8,1,sku_4,1,2024-04-15 14:08:58,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,269.1,productCategory_0,0.869,9.01
idShop_8,1,sku_4,1,2024-04-15 14:08:58,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,269.1,productCategory_0,0.869,21.35
idShop_8,1,sku_4,1,2024-04-15 14:08:58,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,269.1,productCategory_0,0.869,0
idShop_9,1,sku_4,1,2024-04-15 14:09:09,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,299,productCategory_0,0.869,9.23
idShop_9,1,sku_4,1,2024-04-15 14:09:09,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,299,productCategory_0,0.869,21.65
idShop_9,1,sku_4,1,2024-04-15 14:09:09,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,299,productCategory_0,0.869,0
idShop_10,1,sku_5,1,2024-04-15 14:09:58,displayName_4,isRecommendation_0,8,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,8,originBranchOfficeId_1,23575450,99711082,59.9,productCategory_3,0.650000005960465,7.81
idShop_10,1,sku_5,1,2024-04-15 14:09:58,displayName_2,isRecommendation_0,5,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,5,originBranchOfficeId_2,91140310,91140310,59.9,productCategory_3,0.650000005960465,7.65
idShop_11,1,sku_5,1,2024-04-15 14:10:00,displayName_4,isRecommendation_0,8,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,8,originBranchOfficeId_1,23575450,99711082,59.9,productCategory_3,0.650000005960465,7.81
idShop_11,1,sku_5,1,2024-04-15 14:10:00,displayName_2,isRecommendation_0,5,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,5,originBranchOfficeId_2,91140310,91140310,59.9,productCategory_3,0.650000005960465,7.65
idShop_12,1,sku_5,1,2024-04-15 14:10:09,displayName_4,isRecommendation_0,8,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,8,originBranchOfficeId_1,23575450,99711082,59.9,productCategory_3,0.650000005960465,7.81
idShop_12,1,sku_5,1,2024-04-15 14:10:09,displayName_2,isRecommendation_0,5,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,5,originBranchOfficeId_2,91140310,91140310,59.9,productCategory_3,0.650000005960465,7.65
idShop_13,1,sku_5,1,2024-04-15 14:10:20,displayName_4,isRecommendation_0,8,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,8,originBranchOfficeId_1,23575450,99711082,59.9,productCategory_3,0.650000005960465,7.81
idShop_13,1,sku_5,1,2024-04-15 14:10:20,displayName_2,isRecommendation_0,5,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,5,originBranchOfficeId_2,91140310,91140310,59.9,productCategory_3,0.650000005960465,7.65
idShop_14,1,sku_3,2,2024-04-15 14:12:32,displayName_0,isRecommendation_0,1,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,1,originBranchOfficeId_0,3110010,1310100,116.99,productCategory_2,2.6,13.95
idShop_14,1,sku_3,2,2024-04-15 14:12:32,displayName_3,isRecommendation_0,1,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_3,deliveryMethodId_3,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_3,deliveryMethodType_1,1,originBranchOfficeId_0,3110010,1310100,116.99,productCategory_2,2.6,14.25
idShop_14,1,sku_3,2,2024-04-15 14:12:32,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,116.99,productCategory_2,2.6,0
idShop_15,1,sku_3,2,2024-04-15 14:12:46,displayName_0,isRecommendation_0,1,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,1,originBranchOfficeId_0,3110010,1310100,129.99,productCategory_2,2.6,14.14
idShop_15,1,sku_3,2,2024-04-15 14:12:46,displayName_3,isRecommendation_0,1,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_3,deliveryMethodId_3,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_3,deliveryMethodType_1,1,originBranchOfficeId_0,3110010,1310100,129.99,productCategory_2,2.6,14.37
idShop_15,1,sku_3,2,2024-04-15 14:12:46,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,129.99,productCategory_2,2.6,0
idShop_16,1,sku_6,1,2024-04-15 14:17:27,displayName_5,isRecommendation_0,3,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_5,deliveryMethodId_5,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_6,deliveryMethodType_0,3,originBranchOfficeId_1,23575450,1310200,339.9,productCategory_4,undefined,4.55
idShop_16,1,sku_6,1,2024-04-15 14:17:27,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_1,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_3,2047051,2047051,339.9,productCategory_4,undefined,0
idShop_16,1,sku_6,1,2024-04-15 14:17:27,displayName_6,isRecommendation_0,4,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,4,originBranchOfficeId_1,23575450,1310200,339.9,productCategory_4,undefined,5.73
idShop_17,1,sku_7,1,2024-04-15 14:19:39,displayName_4,isRecommendation_0,8,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,8,originBranchOfficeId_1,23575450,99705576,49.9,productCategory_5,0.180000007152557,7.74
idShop_17,1,sku_7,1,2024-04-15 14:19:39,displayName_2,isRecommendation_0,5,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,5,originBranchOfficeId_2,91140310,91140310,49.9,productCategory_5,0.180000007152557,7.65
idShop_18,1,sku_8,3,2024-04-15 14:20:19,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,9.99,productCategory_6,0.295,7.22
idShop_18,1,sku_8,3,2024-04-15 14:20:19,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,9.99,productCategory_6,0.295,18.9
idShop_18,1,sku_8,3,2024-04-15 14:20:19,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,9.99,productCategory_6,0.295,0
idShop_19,1,sku_9,1,2024-04-15 14:22:15,displayName_4,isRecommendation_0,6,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,6,originBranchOfficeId_1,23575450,15085440,579,productCategory_7,Perfumes,11.51
idShop_19,1,sku_9,1,2024-04-15 14:22:15,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_3,2047051,2047051,579,productCategory_7,Perfumes,6.1
idShop_19,1,sku_9,1,2024-04-15 14:22:15,displayName_6,isRecommendation_0,6,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,6,originBranchOfficeId_1,23575450,15085440,579,productCategory_7,Perfumes,6.4
idShop_19,1,sku_10,1,2024-04-15 14:22:15,displayName_4,isRecommendation_0,6,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,6,originBranchOfficeId_1,23575450,15085440,79.9,productCategory_8,undefined,11.51
idShop_19,1,sku_10,1,2024-04-15 14:22:15,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_3,2047051,2047051,79.9,productCategory_8,undefined,6.1
idShop_19,1,sku_10,1,2024-04-15 14:22:15,displayName_6,isRecommendation_0,6,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,6,originBranchOfficeId_1,23575450,15085440,79.9,productCategory_8,undefined,6.4
idShop_20,1,sku_9,1,2024-04-15 14:22:16,displayName_4,isRecommendation_0,6,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,6,originBranchOfficeId_1,23575450,15085440,579,productCategory_7,Perfumes,11.51
idShop_20,1,sku_9,1,2024-04-15 14:22:16,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_3,2047051,2047051,579,productCategory_7,Perfumes,6.1
idShop_20,1,sku_9,1,2024-04-15 14:22:16,displayName_6,isRecommendation_0,6,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,6,originBranchOfficeId_1,23575450,15085440,579,productCategory_7,Perfumes,6.4
idShop_20,1,sku_10,1,2024-04-15 14:22:16,displayName_4,isRecommendation_0,6,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,6,originBranchOfficeId_1,23575450,15085440,79.9,productCategory_8,undefined,11.51
idShop_20,1,sku_10,1,2024-04-15 14:22:16,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_3,2047051,2047051,79.9,productCategory_8,undefined,6.1
idShop_20,1,sku_10,1,2024-04-15 14:22:16,displayName_6,isRecommendation_0,6,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,6,originBranchOfficeId_1,23575450,15085440,79.9,productCategory_8,undefined,6.4
idShop_21,1,sku_9,1,2024-04-15 14:22:16,displayName_4,isRecommendation_0,6,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,6,originBranchOfficeId_1,23575450,15085440,579,productCategory_7,Perfumes,11.51
idShop_21,1,sku_9,1,2024-04-15 14:22:16,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_3,2047051,2047051,579,productCategory_7,Perfumes,6.1
idShop_21,1,sku_9,1,2024-04-15 14:22:16,displayName_6,isRecommendation_0,6,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,6,originBranchOfficeId_1,23575450,15085440,579,productCategory_7,Perfumes,6.4
idShop_21,1,sku_10,1,2024-04-15 14:22:16,displayName_4,isRecommendation_0,6,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_4,deliveryMethodId_4,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_4,deliveryMethodType_0,6,originBranchOfficeId_1,23575450,15085440,79.9,productCategory_8,undefined,11.51
idShop_21,1,sku_10,1,2024-04-15 14:22:16,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_3,2047051,2047051,79.9,productCategory_8,undefined,6.1
idShop_21,1,sku_10,1,2024-04-15 14:22:16,displayName_6,isRecommendation_0,6,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,6,originBranchOfficeId_1,23575450,15085440,79.9,productCategory_8,undefined,6.4
idShop_22,1,sku_11,1,2024-04-15 14:22:52,displayName_5,isRecommendation_0,3,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_5,deliveryMethodId_5,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_6,deliveryMethodType_0,3,originBranchOfficeId_1,23575450,4005004,2.9,productCategory_9, Rasteirinhas e Tamancos,4.55
idShop_22,1,sku_11,1,2024-04-15 14:22:52,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_4,2047051,2047051,2.9,productCategory_9, Rasteirinhas e Tamancos,6.1
idShop_22,1,sku_11,1,2024-04-15 14:22:52,displayName_6,isRecommendation_0,4,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,4,originBranchOfficeId_1,23575450,4005004,2.9,productCategory_9, Rasteirinhas e Tamancos,5.73
idShop_23,1,sku_11,1,2024-04-15 14:23:08,displayName_5,isRecommendation_0,3,DAY,shippingMethod_0,fulfillmentMethod_0,state_1,R$,description_5,deliveryMethodId_5,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_6,deliveryMethodType_0,3,originBranchOfficeId_1,23575450,4005004,2.9,productCategory_9, Rasteirinhas e Tamancos,4.55
idShop_23,1,sku_11,1,2024-04-15 14:23:08,displayName_2,isRecommendation_0,3,DAY,shippingMethod_2,fulfillmentMethod_0,state_1,R$,description_2,deliveryMethodId_2,isPickupEnable_2,isSchedulingEnable_0,descriptionLogistic_5,deliveryMethodType_3,3,originBranchOfficeId_4,2047051,2047051,2.9,productCategory_9, Rasteirinhas e Tamancos,6.1
idShop_23,1,sku_11,1,2024-04-15 14:23:08,displayName_6,isRecommendation_0,4,DAY,shippingMethod_3,fulfillmentMethod_0,state_1,R$,description_6,deliveryMethodId_6,isPickupEnable_0,isSchedulingEnable_2,descriptionLogistic_7,deliveryMethodType_4,4,originBranchOfficeId_1,23575450,4005004,2.9,productCategory_9, Rasteirinhas e Tamancos,5.73
